ID,Name,DIESEL,DEF
73211,loves,4.989,4.089
73208,loves,4.949,4.089
73206,loves,5.049,4.249
73204,loves,4.889,4.189
73202,loves,4.589,4.289
73199,loves,4.889,4.289
73196,loves,5.189,4.249
73194,loves,5.389,4.149
73190,loves,4.989,4.389
73187,loves,5.249,4.189
73185,loves,4.889,4.289
73181,loves,4.649,4.149
73170,loves,4.889,4.389
73168,loves,4.989,4.089
73166,loves,4.949,4.089
73164,loves,4.589,4.149
73160,loves,4.989,4.089
73156,loves,5.389,4.089
73152,loves,5.449,4.089
73150,loves,4.749,4.089
73148,loves,5.149,4.389
73146,loves,5.149,4.199
73144,loves,5.289,4.189
73142,loves,5.389,4.089
73140,loves,4.789,4.089
73138,loves,4.989,4.089
73136,loves,4.489,4.149
73133,loves,4.789,4.189
73125,loves,4.949,4.249
73119,loves,5.089,4.389
73117,loves,4.989,4.149
73115,loves,4.949,4.389
73113,loves,6.189,4.289
196,loves,4.989,4.089
188,loves,5.349,4.289
180,loves,4.749,4.149
176,loves,5.389,4.189
160,loves,4.649,4.189
158,loves,4.739,3.989
156,loves,5.189,4.189
153,loves,5.249,4.189
151,loves,5.249,4.249
141,loves,5.389,4.089
139,loves,4.989,3.989
138,loves,4.749,4.289
137,loves,4.889,4.289
124,loves,4.989,4.089
109,loves,6.249,4.189
107,loves,5.349,4.189
105,loves,4.789,4.249
92,loves,4.849,4.289
64,loves,4.589,4.289
62,loves,4.889,3.989
51,loves,5.389,4.189
39,loves,4.989,4.289
36,loves,5.489,3.989
11,loves,4.549,4.189
99741,pilotflyingj,4.599,3.999
99710,pilotflyingj,5.099,3.999
99364,pilotflyingj,5.899,3.999
99269,pilotflyingj,4.399,4.099
99210,pilotflyingj,4.259,4.199
98989,pilotflyingj,4.859,3.999
98845,pilotflyingj,5.449,3.999
98840,pilotflyingj,5.299,3.999
98800,pilotflyingj,5.159,3.999
98790,pilotflyingj,4.499,3.999
98654,pilotflyingj,4.459,4.099
98622,pilotflyingj,4.799,4.099
98101,pilotflyingj,4.699,3.999
97507,pilotflyingj,4.799,3.999
97489,pilotflyingj,4.999,3.999
97315,pilotflyingj,4.599,3.999
97288,pilotflyingj,4.559,3.999
97275,pilotflyingj,4.659,4.099
97273,pilotflyingj,4.489,3.999
97219,pilotflyingj,4.499,3.999
96548,pilotflyingj,4.199,3.999
96541,pilotflyingj,4.299,
96534,pilotflyingj,4.299,4.059
96526,pilotflyingj,4.159,3.999
96491,pilotflyingj,4.159,3.999
96426,pilotflyingj,4.259,
96402,pilotflyingj,4.259,3.999
96372,pilotflyingj,4.649,3.999
96355,pilotflyingj,4.399,4.199
96125,pilotflyingj,4.899,4.099
96000,pilotflyingj,4.799,4.099
95923,pilotflyingj,4.599,3.999
95921,pilotflyingj,4.499,3.999
92785,pilotflyingj,5.099,3.999
92784,pilotflyingj,4.699,
92783,pilotflyingj,4.799,
92782,pilotflyingj,4.539,
92778,pilotflyingj,4.699,4.099
92777,pilotflyingj,4.599,3.999
92775,pilotflyingj,4.899,3.999
92774,pilotflyingj,4.669,3.999
92773,pilotflyingj,4.539,3.999
92772,pilotflyingj,4.359,3.999
92771,pilotflyingj,4.579,
92770,pilotflyingj,4.599,3.999
92769,pilotflyingj,4.899,4.299
92635,pilotflyingj,4.499,3.999
92237,pilotflyingj,4.679,3.999
73785,pilotflyingj,4.579,
31003,pilotflyingj,5.199,3.999
10755,pilotflyingj,5.359,3.999
10754,pilotflyingj,4.889,3.989
10753,pilotflyingj,4.839,3.989
10752,pilotflyingj,4.779,3.989
10751,pilotflyingj,4.899,3.989
10750,pilotflyingj,4.889,3.989
